event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1738598400_132,2025-02-03 16:00:00,2025-02-03 17:30:00,90,234.15,2025-02-03 16:30:00,6249.86,8365.72,-3177.69,300.0,300,GBPUSD,49.52,1,2,3
evt_1739790000_133,2025-02-17 11:00:00,2025-02-18 09:45:00,1365,291.84,2025-02-17 12:45:00,5467.32,10488.72,-2198.05,300.0,300,EURUSD,62.93,3,0,3
evt_1739873700_134,2025-02-18 10:15:00,2025-02-18 10:15:00,0,299.63,2025-02-18 10:15:00,5458.81,10897.66,-1788.6,300.0,300,EURUSD,62.89,3,0,3
evt_1739881800_135,2025-02-18 12:30:00,2025-02-18 15:00:00,150,231.48,2025-02-18 13:15:00,7035.9,9250.66,-1856.3,300.0,300,EURUSD,48.78,3,1,3
evt_1739900700_136,2025-02-18 17:45:00,2025-02-18 18:30:00,45,298.19,2025-02-18 17:45:00,5461.56,10824.34,-1882.02,300.0,300,EURUSD,62.86,3,0,3
evt_1739926800_137,2025-02-19 01:00:00,2025-02-20 18:09:21,2469,230.72,2025-02-19 10:00:00,7040.58,9203.26,-1912.85,300.0,300,EURUSD,48.7,3,1,3
evt_1740076200_138,2025-02-20 18:30:00,2025-02-21 10:00:00,930,291.35,2025-02-21 05:15:00,5465.99,10458.99,-2235.41,300.0,300,EURUSD,63.03,3,0,3
evt_1740133800_139,2025-02-21 10:30:00,2025-02-21 10:45:00,15,297.95,2025-02-21 10:30:00,5459.26,10806.79,-1894.34,300.0,300,EURUSD,62.98,3,0,3
evt_1740150000_140,2025-02-21 15:00:00,2025-02-21 20:15:00,315,230.16,2025-02-21 16:15:00,7042.58,9166.55,-1949.06,300.0,300,EURUSD,48.8,3,1,3
evt_1740358800_141,2025-02-24 01:00:00,2025-02-24 01:30:00,30,298.46,2025-02-24 01:30:00,5458.45,10832.76,-1863.22,300.0,300,EURUSD,62.98,3,0,3
evt_1740362400_142,2025-02-24 02:00:00,2025-02-24 10:00:00,480,223.5,2025-02-24 04:30:00,7053.75,8711.21,-2414.75,300.0,300,EURUSD,48.95,3,1,3
evt_1740393900_143,2025-02-24 10:45:00,2025-02-24 11:30:00,45,298.73,2025-02-24 11:00:00,5458.5,10847.5,-1869.73,300.0,300,EURUSD,62.99,3,0,3
evt_1740398400_144,2025-02-24 12:00:00,2025-02-24 12:00:00,0,232.63,2025-02-24 12:00:00,7037.46,9333.55,-1802.52,300.0,300,EURUSD,48.82,3,1,3
evt_1740401100_145,2025-02-24 12:45:00,2025-02-24 12:45:00,0,298.69,2025-02-24 12:45:00,5459.47,10847.21,-1889.9,300.0,300,EURUSD,62.97,3,0,3
evt_1740492000_146,2025-02-25 14:00:00,2025-02-25 15:00:00,60,232.62,2025-02-25 15:00:00,7037.4,9332.81,-1815.12,300.0,300,EURUSD,48.93,3,1,3
evt_1740496500_147,2025-02-25 15:15:00,2025-02-25 15:45:00,30,298.48,2025-02-25 15:30:00,5455.95,10829.01,-1923.15,300.0,300,EURUSD,63.17,3,0,3
evt_1740500100_148,2025-02-25 16:15:00,2025-02-25 17:30:00,75,297.43,2025-02-25 17:00:00,5456.71,10773.44,-1977.96,300.0,300,EURUSD,63.19,3,0,3
evt_1740515400_149,2025-02-25 20:30:00,2025-02-26 06:30:00,600,294.75,2025-02-26 02:15:00,5459.02,10630.88,-2109.42,300.0,300,EURUSD,63.24,3,0,3
