event_id,worst_threshold_crossed,thresholds_crossed,min_margin_time,pair,open_positions,used_margin,floating_pnl,used_margin_contribution_pct,portfolio_used_margin,portfolio_margin_level
evt_1734364800_233,300.0,300,2024-12-16 17:15:00,EURGBP,4,4139.75,-1996.5,40.53,10215.22,231.93
evt_1734364800_233,300.0,300,2024-12-16 17:15:00,EURUSD,1,1637.38,-53.04,16.03,10215.22,231.93
evt_1734364800_233,300.0,300,2024-12-16 17:15:00,GBPUSD,1,2345.26,47.73,22.96,10215.22,231.93
evt_1734364800_233,300.0,300,2024-12-16 17:15:00,USDCHF,2,2092.83,-440.7,20.49,10215.22,231.93
evt_1734380100_234,300.0,300,2024-12-16 21:15:00,EURGBP,4,4142.65,-1938.5,52.6,7875.62,299.62
evt_1734380100_234,300.0,300,2024-12-16 21:15:00,EURUSD,1,1640.22,-195.0,20.83,7875.62,299.62
evt_1734380100_234,300.0,300,2024-12-16 21:15:00,GBPUSD,0,0.0,0.0,0.0,7875.62,299.62
evt_1734380100_234,300.0,300,2024-12-16 21:15:00,USDCHF,2,2092.76,-438.36,26.57,7875.62,299.62
evt_1734385500_235,300.0,300,2024-12-16 21:45:00,EURGBP,4,4142.95,-1932.5,52.6,7876.19,299.7
evt_1734385500_235,300.0,300,2024-12-16 21:45:00,EURUSD,1,1639.59,-163.8,20.82,7876.19,299.7
evt_1734385500_235,300.0,300,2024-12-16 21:45:00,GBPUSD,0,0.0,0.0,0.0,7876.19,299.7
evt_1734385500_235,300.0,300,2024-12-16 21:45:00,USDCHF,2,2093.64,-468.0,26.58,7876.19,299.7
evt_1734391800_236,300.0,300,2024-12-16 23:30:00,EURGBP,4,4143.2,-1927.5,52.61,7875.96,299.95
evt_1734391800_236,300.0,300,2024-12-16 23:30:00,EURUSD,1,1639.7,-169.26,20.82,7875.96,299.95
evt_1734391800_236,300.0,300,2024-12-16 23:30:00,GBPUSD,0,0.0,0.0,0.0,7875.96,299.95
evt_1734391800_236,300.0,300,2024-12-16 23:30:00,USDCHF,2,2093.06,-448.5,26.58,7875.96,299.95
evt_1734397200_237,300.0,300,2024-12-17 02:15:00,EURGBP,4,4143.05,-1930.5,52.6,7876.3,299.41
evt_1734397200_237,300.0,300,2024-12-17 02:15:00,EURUSD,1,1641.01,-234.78,20.83,7876.3,299.41
evt_1734397200_237,300.0,300,2024-12-17 02:15:00,GBPUSD,0,0.0,0.0,0.0,7876.3,299.41
evt_1734397200_237,300.0,300,2024-12-17 02:15:00,USDCHF,2,2092.24,-421.2,26.56,7876.3,299.41
evt_1734409800_238,300.0,300,2024-12-17 05:15:00,EURGBP,4,4144.45,-1902.5,52.61,7878.33,299.49
evt_1734409800_238,300.0,300,2024-12-17 05:15:00,EURUSD,1,1640.68,-218.4,20.83,7878.33,299.49
evt_1734409800_238,300.0,300,2024-12-17 05:15:00,GBPUSD,0,0.0,0.0,0.0,7878.33,299.49
evt_1734409800_238,300.0,300,2024-12-17 05:15:00,USDCHF,2,2093.2,-453.18,26.57,7878.33,299.49
evt_1734425100_239,300.0,300,2024-12-17 14:30:00,EURGBP,4,4130.15,-2188.5,46.33,8914.99,261.34
evt_1734425100_239,300.0,300,2024-12-17 14:30:00,EURUSD,1,1637.25,-46.8,18.37,8914.99,261.34
evt_1734425100_239,300.0,300,2024-12-17 14:30:00,GBPUSD,0,0.0,0.0,0.0,8914.99,261.34
evt_1734425100_239,300.0,300,2024-12-17 14:30:00,USDCHF,3,3147.59,-632.58,35.31,8914.99,261.34
evt_1734544800_240,300.0,300,2024-12-18 21:00:00,EURGBP,4,4121.2,-2367.5,46.22,8917.1,265.21
evt_1734544800_240,300.0,300,2024-12-18 21:00:00,EURUSD,1,1645.43,472.42,18.45,8917.1,265.21
evt_1734544800_240,300.0,300,2024-12-18 21:00:00,GBPUSD,0,0.0,0.0,0.0,8917.1,265.21
evt_1734544800_240,300.0,300,2024-12-18 21:00:00,USDCHF,3,3150.47,-728.52,35.33,8917.1,265.21
evt_1734559200_241,300.0,300,2024-12-18 22:00:00,EURGBP,4,4118.75,-2416.5,42.87,9606.78,238.85
evt_1734559200_241,300.0,300,2024-12-18 22:00:00,EURUSD,0,0.0,0.0,0.0,9606.78,238.85
evt_1734559200_241,300.0,300,2024-12-18 22:00:00,GBPUSD,1,2327.21,53.28,24.22,9606.78,238.85
evt_1734559200_241,300.0,300,2024-12-18 22:00:00,USDCHF,3,3160.83,-1073.67,32.9,9606.78,238.85
